Furniture,things that are put into a building to make it suitable for living or working in,They have a lot of antique ...,/ˈfəːnɪtʃə/
Chair,a separate seat for one person and typically with a back and four legs,The coat was thrown over the back of the ...,/tʃɛː/
Closet,a tall cupboard or wardrobe with a door and used for storage,He has a ... full of designer suits,/ˈklɒzɪt/
Table,a piece of furniture with a flat top used for eating writing or working at,She put the plate on the ...,/ˈteɪb(ə)l/
Sofa,a long upholstered seat with a back and arms for two or more people,They settled down on the ... to watch the film,/ˈsəʊfə/
Shelf,a flat length of board that provides a surface for the storage or display of objects,She arranged her birthday cards along the ...,/ʃɛlf/
Desk,a type of table that you can work at,He sat at his ... reading reports,/dɛsk/
Bookcase,a piece of furniture with shelves to put books on,He has a ... crowded with books,/ˈbʊkkeɪs/
Bed,a piece of furniture for sleep or rest,She didn't get out of ... till lunchtime today,/bɛd/
Crib,a child's bed with high bars around the sides,She lifted her daughter from her ...,/krɪb/
Drawer,a topless box-shaped storage container that slides in and out to open and close,I keep my socks in the bottom ...,/drɑː/
